# ThermalSensors: This file gives a list of location for temperature
# measurements.  The columns are x,y,z in metres. these are not offsets from
# the world boundaries so if your world doesn't start from zero be careful that
# the sensors are actually placed inside the world. An error should be flagged
# if if they don't. Positive Z values are going into the ground.

9670.6,21.408,2468.5
9670.6,21.408,2487.5
20342,395.43,3046.5
18598,484.69,2495.6
17745,1457.5,2492.9
17229,1588.8,2404.5
22529,2732.9,2570.4
3511.9,4659.7,2455.2
4265.1,5286.7,2622.5
4227.1,5352.4,1797.1
4536.1,5996.6,2448.6
23712,6118.9,2748.3
23712,6118.9,2770.3
19771,7180.4,3254.8
1479.5,7315.3,3050.9
3551.8,8602.3,2583
18102,8892.3,3080.2
22528,9356.9,3145.9
8060.2,9885.8,3235.4
17738,10242,2775.1
23701,10285,2974.9
10468,10674,2987.6
10468,10674,3031.6
27032,10927,2965.1
15607,10874,3047.2
15607,10874,3093.2
11433,11419,2605.7
14344,11910,2608.8
15441,12142,3055.7
15441,12142,3073.7
4969.3,12508,2581.8
10403,12684,2555.9
11529,12721,2905.7
17150,12900,2979.2
15831,13086,2738
10366,13681,3102.9
15084,13850,2852.3
15868,14020,2677.1
5489.8,14598,2603.6
5489.8,14598,3094.6
12531,14736,2599
15424,14896,2550.5
15424,14896,2931.5
14357,14937,2847.9
4028.9,15422,2848.2
16069,15690,2742.1
8204.6,16360,2803.2
7086.6,16373,2800.7
17057,16490,3032.8
