# Offset: This is a mean heightmap giving the prior mean of a particular
# boundary. Control points deform this offset. This file can be high resolution
# (much greater than the number of control points for instance), because linear
# interpolation is used to create voxelisations.
# The top left of this file is
# the northern-most, western-most depth value. Positive number indicate
# increasing depth. Units are in metres, except if BoundariesAreTimes flag is
# true (and it is not the first layer), in which case they are in seconds and
# represent two-way times. The distances are computed through the P-wave
# velocity parameter.

1769.8,1760.3,1757.2,1764,1777.3,1789.8,1801,1809,1814.4,1817.6,1817.7,1814.3,1810.9,1808.6,1808.6,1808.8,1809.2,1809.5,1809.8,1809.9
1794.1,1779.5,1766.6,1769.6,1779.9,1790.5,1801.8,1811.3,1819.9,1825.4,1825,1820.4,1815.4,1812.3,1811.5,1811.3,1811.5,1811.5,1811.4,1811.2
1789.5,1767.5,1760.3,1771,1783.1,1791.2,1800.9,1810,1820.7,1827.6,1828.9,1827.2,1822.2,1819.1,1816,1813.9,1813.4,1813.3,1813.3,1812.9
1708.4,1700.8,1729.3,1768,1785,1791.5,1797.7,1805.4,1816,1824.7,1827.8,1829.1,1827.5,1823.8,1819.2,1815.4,1814.3,1814.5,1814.7,1814.6
1546,1604.8,1690.4,1761.4,1786.5,1791.4,1793.3,1799.2,1809.6,1819.1,1824.8,1824.6,1823.4,1820.3,1815.9,1813.1,1812.9,1813.4,1814.6,1815
1486.9,1525.9,1671.7,1761.8,1797.2,1793.8,1789,1792.1,1803.1,1812,1810.2,1807.1,1806.4,1804.8,1802.5,1803.3,1806.4,1809.4,1812.2,1814.1
1595.5,1587.7,1691.6,1768.8,1809.2,1797.7,1788.2,1793.1,1808.4,1820.3,1818.4,1804.6,1793.3,1785.9,1787.5,1790.6,1795.4,1801.8,1807.6,1811.7
1738.4,1706.2,1742.8,1785.6,1808.3,1799.6,1791.2,1793,1814.9,1834.3,1837.7,1826.1,1808.2,1791.9,1785.9,1784.1,1786.3,1793.1,1801.5,1807.7
1736.4,1777.1,1781.2,1782.9,1797.4,1797.9,1779.9,1770.8,1782.8,1819.6,1854,1868.3,1848.7,1818.5,1796.7,1785.7,1783.2,1786.6,1794.7,1802.2
1726.9,1776.8,1790.2,1785.7,1776.9,1775.5,1758.6,1741.4,1749.7,1785,1824.2,1854.1,1853.9,1834,1804.1,1787,1781.6,1784,1789.7,1796.3
1732.8,1749,1759.4,1776.6,1764,1744.3,1734.1,1703.8,1695.7,1688.5,1746,1792.1,1813.7,1816,1802,1785.5,1779.2,1780.2,1784.7,1790.8
1736.8,1725,1692.3,1676.2,1722.7,1734.2,1727.6,1686,1643.6,1609.4,1653.3,1723.8,1764.5,1788,1786.5,1776.3,1771.6,1774.2,1778.9,1784.7
1747,1721.7,1681.8,1650.5,1667,1746.4,1739.2,1700.2,1648,1612.5,1621.3,1687,1731.8,1763.2,1762.1,1759.2,1758.3,1763,1769.7,1776.6
1763,1728.8,1693.6,1669,1666.4,1710.1,1731.5,1712.5,1668.8,1641.8,1641.8,1672.1,1709.5,1728.9,1736.1,1738.9,1743,1749.2,1758,1766.9
1772.1,1743.2,1714.2,1691.6,1690.6,1700.1,1718.4,1727.8,1712,1692.3,1680.8,1689.7,1703.9,1710.3,1722.6,1726.2,1731,1737.8,1745.8,1755.1
1769.2,1749.2,1725.8,1704.4,1692.4,1703.8,1721.1,1739,1739.8,1733.4,1728.2,1726.4,1728.1,1726.6,1725.9,1722.8,1724.3,1731.5,1739.7,1747.8
1761.1,1747.9,1729.7,1712.5,1700.5,1704.8,1723.3,1744.6,1756.2,1760.2,1760,1760.5,1760.8,1756.6,1746.7,1739.4,1734.6,1736.8,1741.4,1747.2
1748.3,1741.5,1729.3,1716,1706.1,1706.7,1718.9,1738.6,1756.7,1771.2,1777.9,1779.7,1783.1,1779.3,1767.7,1756.6,1749.7,1747.7,1748.7,1751.4
1735.3,1733.4,1726.3,1715.6,1707.3,1705.2,1711.9,1726.9,1746.1,1765.5,1779,1787.5,1792.5,1791.2,1782.6,1772.1,1763.9,1760.1,1758.3,1758.8
1725.5,1725.7,1722.8,1714.5,1707,1703.5,1705.7,1715.8,1731.7,1750.7,1765.2,1776,1783.8,1787.7,1786,1778.8,1773.5,1770.4,1768.6,1768.4
