# GravSensors: This file gives a list of location for gravity measurements.
# The columns are x,y,z in metres. these are not offsets from the world
# boundaries so if your world doesn't start from zero be careful that the
# sensors are actually placed inside the world. An error should be flagged if
# if they don't. Positive Z values are going into the ground.

13200,1185.8,-0.5
8990.5,18699,-0.5
33568,19763,-0.5
12196,29798,-0.5
30249,28055,-0.5
22879,26170,-0.5
11564,1175.2,-0.5
21350,6774.7,-0.5
27760,33581,-0.5
8291.2,1153.1,-0.5
19605,25228,-0.5
11479,14099,-0.5
35224,16078,-0.5
29475,18820,-0.5
14843,273.11,-0.5
2543.4,3882,-0.5
15454,33511,-0.5
22033,30781,-0.5
22164,7702.5,-0.5
35135,35463,-0.5
25373,19721,-0.5
31983,8677.4,-0.5
17982,22449,-0.5
12244,22413,-0.5
31114,18828,-0.5
30207,36363,-0.5
13040,26111,-0.5
35152,31771,-0.5
6596.7,9450.3,-0.5
26183,21572,-0.5
27856,15119,-0.5
10562,28864,-0.5
9871.8,9472.7,-0.5
20500,12309,-0.5
7345.4,19611,-0.5
24579,15101,-0.5
1663.6,12184,-0.5
28741,2199.1,-0.5
9853.2,12242,-0.5
27041,14191,-0.5
22143,11395,-0.5
16275,33516,-0.5
33490,36379,-0.5
8297.5,229.98,-0.5
31173,6827.2,-0.5
12155,36260,-0.5
33524,28994,-0.5
19643,18766,-0.5
1527.6,30647,-0.5
34439,8689.1,-0.5
20371,34464,-0.5
17089,34444,-0.5
20398,29848,-0.5
21223,28930,-0.5
13188,3032.1,-0.5
2523.1,6651.5,-0.5
27012,19730,-0.5
35257,8692.9,-0.5
30336,10516,-0.5
35262,7769.8,-0.5
1656.8,13108,-0.5
26198,18803,-0.5
9847,13165,-0.5
18087,4909.1,-0.5
22982,7707.1,-0.5
6416.9,35298,-0.5
2327.6,33423,-0.5
9717.5,32551,-0.5
17932,30757,-0.5
24473,34487,-0.5
9748.3,27935,-0.5
22002,36319,-0.5
13995,4883.7,-0.5
27923,2194.9,-0.5
28637,22508,-0.5
9705.2,34397,-0.5
27032,16038,-0.5
3348.4,5734.3,-0.5
21234,27084,-0.5
4939.5,12208,-0.5
20543,4923.6,-0.5
22833,34478,-0.5
26168,24341,-0.5
5674,24215,-0.5
18790,24300,-0.5
8246.9,7615.3,-0.5
789.62,19564,-0.5
8196.4,15000,-0.5
33581,16993,-0.5
10666,13171,-0.5
15592,11356,-0.5
6641.9,2988.1,-0.5
29531,7742.1,-0.5
18873,10453,-0.5
32001,4984.9,-0.5
9046.8,10390,-0.5
19746,1226.2,-0.5
21329,10467,-0.5
775.89,21410,-0.5
18769,27992,-0.5
