# MagSensors: This file gives a list of location for magnetic measurements.
# The columns are x,y,z in metres. these are not offsets from the world
# boundaries so if your world doesn't start from zero be careful that the
# sensors are actually placed inside the world. An error should be flagged if
# if they don't. Positive Z values are going into the ground.

34984,5251.8,-0.5
17381,6080.8,-0.5
7792.6,19590,-0.5
27345,26170,-0.5
27650,30603,-0.5
34479,8203.7,-0.5
9590.5,20341,-0.5
1214.3,33669,-0.5
24534,30310,-0.5
31659,15760,-0.5
28316,28576,-0.5
9296.7,3166.8,-0.5
23120,4452.6,-0.5
19268,19202,-0.5
20195,927.57,-0.5
27324,14354,-0.5
21773,25494,-0.5
11159,31060,-0.5
12701,8267.1,-0.5
5248.2,20126,-0.5
661.63,8737,-0.5
8847,33353,-0.5
5021,29080,-0.5
23523,35197,-0.5
9538.3,15909,-0.5
9287.4,4551.6,-0.5
19097,6552.7,-0.5
19593,5724.8,-0.5
13254,11410,-0.5
31108,11142,-0.5
28378,603.48,-0.5
30085,19168,-0.5
21547,21892,-0.5
23941,18951,-0.5
5609.2,15420,-0.5
1329.4,18067,-0.5
9585.5,8892.8,-0.5
28211,33006,-0.5
13054,29873,-0.5
10708,221.89,-0.5
17804,17347,-0.5
21221,21706,-0.5
14215,1906.6,-0.5
30019,16121,-0.5
21921,13862,-0.5
22314,2324.6,-0.5
27982,29774,-0.5
35176,34979,-0.5
10189,16560,-0.5
10958,11764,-0.5
1001.6,29143,-0.5
28745,24793,-0.5
8343.5,35011,-0.5
14898,23422,-0.5
11997,28389,-0.5
21496,30939,-0.5
4449.8,17166,-0.5
27327,29494,-0.5
30084,35970,-0.5
32966,33768,-0.5
30205,28031,-0.5
33897,27772,-0.5
20783,12379,-0.5
20399,21978,-0.5
8950.2,30215,-0.5
3099.8,11248,-0.5
14417,8739.7,-0.5
26472,36136,-0.5
23032,20239,-0.5
22540,20236,-0.5
22086,13586,-0.5
32420,10871,-0.5
34983,5436.4,-0.5
26579,15919,-0.5
27383,18785,-0.5
4631.4,14675,-0.5
8037.1,19776,-0.5
35259,34702,-0.5
3300,28883,-0.5
16970,33220,-0.5
5723.7,22438,-0.5
18809,27600,-0.5
21483,18753,-0.5
28372,1895.9,-0.5
23960,30399,-0.5
14039,16677,-0.5
24773,1507.5,-0.5
9303.6,2151.3,-0.5
17806,30733,-0.5
19849,31945,-0.5
31730,18069,-0.5
20846,29735,-0.5
32877,902.89,-0.5
12208,33745,-0.5
9231.2,12860,-0.5
16823,3584.7,-0.5
3015.5,352.81,-0.5
31876,21670,-0.5
30293,26739,-0.5
21367,10443,-0.5
